products_id,model,ean,name,description,dimension,price,delivery_code,quantity,categories,options,minimum_order_quantity,image_url
13726,TY573,5055071713330,Fun Kids Octopus Splash Toy,<p>Fun Kids Octopus Splash Toy</p><p>Whether it&#39;s bright, colourful, squidgy or disgusting, kids of all ages will love our range of novelty toys.</p><p>Ideal for party bags and stocking fillers, or just as gifts for all the family, our range comes in a variety of fun themed designs.</p><p>CE marked for children 3 years of over.</p>,Height 17cm Width 6cm Depth 6cm,1.90,B,3034,9118,Only Available Assorted,1,http://www.puckator-dropship.co.uk/gifts/images/TY573_001.jpg
13725,TY572,5055071713323,Fun Kids Puppet - Crocodile Head,<p>Fun Kids Puppet - Crocodile Head</p><p>Whether it&#39;s bright, colourful, squidgy or disgusting, kids of all ages will love our range of novelty toys.</p><p>Ideal for party bags and stocking fillers, or just as gifts for all the family, our range comes in a variety of fun themed designs.</p><p>CE marked for children 5 years of over.</p>,Height 6cm Width 10cm Depth 15cm,2.13,B,1631,9118,Only Available Assorted,1,http://www.puckator-dropship.co.uk/gifts/images/TY572_001.jpg
13724,TY571,5055071713316,Fun Kids Puppet - Shark Head,<p>Fun Kids Puppet - Shark Head</p><p>Whether it&#39;s bright, colourful, squidgy or disgusting, kids of all ages will love our range of novelty toys.</p><p>Ideal for party bags and stocking fillers, or just as gifts for all the family, our range comes in a variety of fun themed designs.</p><p>CE marked for children 5 years of over.</p>,Height 6cm Width 10cm Depth 16cm,2.13,B,196,9118,Only Available Assorted,1,http://www.puckator-dropship.co.uk/gifts/images/TY571_001.jpg
9700,LEPR04,5055071656590,Novelty Lucky Leprechaun Pot of Gold Snow Globe,<p>Novelty Lucky Leprechaun Pot of Gold Snow Globe</p><p>If you are looking for a great new novelty range then look no further than our Lucky Leprechaun collection. Covering everything from money boxes to tea towels, bottle openers to magnets, you will definitely find something for the friend or family member who has everything.</p><p>Our snow globes are made from metal and glass and contain a non toxic liquid.</p>,Height 9cm Diameter 6.5cm,2.80,D,87,9046|100009,,1,http://www.puckator-dropship.co.uk/gifts/images/LEPR04_001.jpg
9701,LON47,5055071655654,Fun Novelty Routemaster Red Bus Mug,<p>Fun Novelty Routemaster Red Bus Mug</p><p>Our shaped handle mugs are novelty and come in a great range of themes and designs. They are all food safe but cannot be used in the dishwasher or microwave.</p><p>Made from ceramics they will definitely be a talking point at the dinner table or in the office canteen.</p>,Height 10cm Width 13.5cm Depth 8.5cm,3.24,E,922,100175|100575,,1,http://www.puckator-dropship.co.uk/gifts/images/LON47_001.jpg
9698,KN158,5055071656989,Decorative Fantasy Knight Goblet,<p>Decorative Fantasy Knight Goblet</p><p>Looking for something a bit different to give as a gift? Then check out our range of novelty gothic and fantasy items.</p><p>Each is made from resin and come with a stainless steel liner, but even thought they are food safe they are recommended for decorative purposes only.</p>,Height 17cm Diameter 7.5cm,6.33,D,647,100577,,1,http://www.puckator-dropship.co.uk/gifts/images/KN158_001.jpg
10200,DRG272,5055071664984,Wine Bottle Holder Fantasy Dragon Collectable,<p>Wine Bottle Holder Fantasy Dragon Collectable</p><p>Our fantasy and gothic dragon range are great entry level collectors items as they are well designed and made but are still great value.</p><p>Made from resin each has been individually finished in rich fantasy colours to create an eye-catching decorative figurine.</p>,Height 15cm Width 31cm Depth 15cm,12.66,I,74,350|100058,,1,http://www.puckator-dropship.co.uk/gifts/images/DRG272_001.jpg
12828,PEN63,5055071690457,Fun Novelty Guardsman Pen,<p>Fun Novelty Guardsman and Beefeater Pen</p><p>Want a pen with a bit of character? Then check out our fun novelty pens.</p><p>Made from resin with a black biro insert, these pens are fun for all the family and are a great gift for the relative or friend who has everything.</p>,Length 16 - 17cm,1.68,A,1860,9180|100575,,1,http://www.puckator-dropship.co.uk/gifts/images/PEN63_001.jpg
12829,PEN65,5055071690471,Fun Zombie Hand Pen,<p>Fun Zombie Hand Pen</p><p>Want a pen with a bit of character? Then check out our fun novelty pens.</p><p>Made from resin with a black biro insert, these pens are fun for all the family and are a great gift for the relative or friend who has everything.</p>,Length 16cm,1.42,A,344,232|9180,,1,http://www.puckator-dropship.co.uk/gifts/images/PEN65_001.jpg
12832,RF120B,5055071549885,Cute Fairy Garden Tiered Display Stand,<p>Cute Fairy Garden Tiered Display Stand</p><p>Mini collectable and trinket display stands are a great displaying all your favourite items. There are loads of themes to choose from so we know you will find one just for you.</p><p>Made from resin they are strong and durable and will look great with all your treasures displayed on the different layers and levels. The resin is suitable for outdoors but if left in an exposed location the paint finish may start to weather.</p>,Height 20cm,8.29,I,33,32,,1,http://www.puckator-dropship.co.uk/gifts/images/RF120B_001.jpg
5413,LON05,5055071622243,Novelty Ceramic Police Box Salt and Pepper Set,<p>Novelty Ceramic Police Box Salt and Pepper Set</p><p>Fun, funky and practical, we must be talking about our range of ceramic salt and pepper sets.</p><p>Made from food safe ceramics our salt and pepper sets make a great gift as they all come in a matching decorative gift box.</p>,Height 7.5cm Width 4cm,2.97,C,754,52,,1,http://www.puckator-dropship.co.uk/gifts/images/LON05_001.jpg
13602,MUG213,5055071710803,Novelty Tree Frog Shaped Ceramic Mug,<p>Novelty Tree Frog Shaped Ceramic Mug</p><p>Our shaped handle mugs are novelty and come in a great range of themes and designs. They are all food safe but cannot be used in the dishwasher or microwave.</p><p>Made from ceramics they will definitely be a talking point at the dinner table or in the office canteen.</p>,Height 8cm Width 15.5cm Depth 12.5cm,3.34,E,1513,9060|100175,,1,http://www.puckator-dropship.co.uk/gifts/images/MUG213_001.jpg
386,BUD77,5055071538544,Decorative Chinese Buddha on Coins and Wealth Toad,<p>Decorative Chinese Buddha on Coins and Wealth Toad</p><p>Buddha figures and figurines have many different meanings in many cultures and with our selection of collectable ornaments you will find something for every taste.</p><p>Whether you are using it for spiritual or decorative purposes there is a great range to choose from and being made from resin they are intricate in design.</p><p>With some of our figures they can be used as a tea light holder or incense burner, if that is the case they will come with full safety instructions, please read these before using.</p>,Height 15cm,5.54,F,670,33,,1,http://www.puckator-dropship.co.uk/gifts/images/BUD77_001.jpg
463,CH11X-B,5055071564925,Cute Collectable Frill Neck Lizard Design Sand Animal,<p>Cute Collectable Frill Neck Lizard Design Sand Animal</p><p>Sand animals are popular with all ages and all year round, they never go out of fashion and they come in such a variety of designs and colours that there is a design for everyone.</p><p>Each is made from durable brightly coloured synthetic fabric and depending on the design comes filled with either wadding on its own, or a mixture of washed fine grade sand and wadding. Sand animals are not designs as toys, they were originally created as paperweights, so our range comes CE marked as not suitable for children under 3 years.</p><p>Whether you have a single favourite or want to collect them all these are a universal product that will be a top seller and collectable for many years.</p>,Length 18cm,1.01,B,3403,9053|100044,,1,http://www.puckator-dropship.co.uk/gifts/images/CH11X-B_001.jpg
464,CH11X-C,5055071564956,Cute Collectable Gecko Design Sand Animal,<p>Cute Collectable Gecko Design Sand Animal</p><p>Sand animals are popular with all ages and all year round, they never go out of fashion and they come in such a variety of designs and colours that there is a design for everyone.</p><p>Each is made from durable brightly coloured synthetic fabric and depending on the design comes filled with either wadding on its own, or a mixture of washed fine grade sand and wadding. Sand animals are not designs as toys, they were originally created as paperweights, so our range comes CE marked as not suitable for children under 3 years.</p><p>Whether you have a single favourite or want to collect them all these are a universal product that will be a top seller and collectable for many years.</p>,Length 15cm,1.01,B,6905,100044,,1,http://www.puckator-dropship.co.uk/gifts/images/CH11X-C_001.jpg
